SPRINT1
RF004	Listar funcionários
RF005	Cadastrar funcionário
RF006	Visualizar funcionário
RF007	Buscar funcionário
RF008	Editar funcionário
RF009	Excluir funcionário
RF010	Listar contratos
RF011	Cadastrar contrato
RF012	Visualizar contrato
RF013	Buscar contrato
RF014	Editar contrato
RF015	Excluir contrato

SPRINT2
RF001	Efetuar login
RF002	Efetuar logoff
RF003	Esqueci minha senha
RF016	Listar formandos
RF017	Cadastrar formando
RF018	Visualizar formando
RF019	Buscar formando
RF020	Editar formando
RF021	Excluir formando
RF022	Gerar relatório de funcionários
RF023	Gerar relatório de contratos
RF024	Gerar relatório de formandos
